gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000174721.10	FGFBP3	2365.158292341967	1.4905395264721613	0.35297531739708504	1.350105976001236e-6	6.169914356648136e-5
ENSG00000281344.1	HELLPAR	31.45689195754013	-2.211703284507895	0.5290671862912478	1.3605124398174317e-6	6.201405539632946e-5
ENSG00000173517.11	PEAK1	554.3935273878144	-1.092181133737431	0.256636986643843	1.4158695691532716e-6	6.420549922844141e-5
ENSG00000145681.11	HAPLN1	174.89047755830904	-4.346818487486881	1.0588173606640023	1.488898869499325e-6	6.700044912746962e-5
ENSG00000289502.1	ENSG00000289502	54.79212715961552	-1.3156691600782013	0.3117503494873037	1.487275315077519e-6	6.700044912746962e-5
ENSG00000080345.18	RIF1	1288.457408757688	-1.277113442540683	0.3031279329912545	1.4986880322234597e-6	6.726935595018278e-5
ENSG00000293313.1	ZNF37BP	67.42187301193516	-1.6356533860752394	0.3915793688743554	1.5029399778642304e-6	6.728898784143407e-5
ENSG00000242086.8	MUC20-OT1	26.89116097266499	1.3366641588255237	0.31853948972324575	1.5471432573383313e-6	6.909267609986878e-5
ENSG00000233930.4	KRTAP5-AS1	95.01705459876322	1.7116910638154383	0.4139478322099656	1.5779978949642576e-6	7.02926335029533e-5
ENSG00000263731.1	ENSG00000263731	35.12465421243223	-1.5538903405540738	0.3729493638775002	1.6201114370743524e-6	7.198681549116266e-5
ENSG00000146373.17	RNF217	309.61639178169463	-1.104749945241593	0.2627014707394547	1.6547884001467848e-6	7.315906611175258e-5
ENSG00000089041.17	P2RX7	32.12316907030555	-1.5710890945851839	0.3782855758746283	1.667546440430188e-6	7.353879802297129e-5
ENSG00000001626.18	CFTR	25.017637219309453	-2.36867940820032	0.5751141618070782	1.7742642280034903e-6	7.747034896530091e-5
ENSG00000184979.11	USP18	108.32777091975505	-2.1435652443869033	0.5215205766708466	1.8024677762551618e-6	7.850748536578039e-5
ENSG00000153113.24	CAST	857.5064635194981	-1.0839671790506749	0.2590983760541474	1.9174521016146847e-6	8.310529501838584e-5
ENSG00000164116.17	GUCY1A1	241.5641496187914	-1.6986094212664173	0.41229516884748685	1.9229086861147342e-6	8.31375226055488e-5
ENSG00000134762.17	DSC3	111.1266005615416	-1.4446989681763511	0.34961964971265325	1.9858093788523346e-6	8.543823766574435e-5
ENSG00000107165.13	TYRP1	113.6893742601277	-3.2734871426372085	0.8066711554520486	1.995880542225145e-6	8.566261013345878e-5
ENSG00000136492.10	BRIP1	441.08165020743127	-1.1695690172926758	0.2820216075534303	2.121811378425957e-6	9.040761525467122e-5
ENSG00000168505.7	GBX2	277.6808415380211	1.360595177457176	0.3306007459511085	2.210184721204676e-6	9.32856405806646e-5
ENSG00000120738.8	EGR1	2063.709404356913	-2.0611718801209853	0.5078530338163239	2.2544021831725422e-6	9.491086995504451e-5
ENSG00000163431.14	LMOD1	48.2428831228516	-2.676101462344267	0.6635560055767988	2.35208677084692e-6	9.785568546636713e-5
ENSG00000147485.13	PXDNL	102.9209295468356	2.179202885894697	0.5427247496672546	2.366793804194458e-6	9.823586519056527e-5
ENSG00000198759.12	EGFL6	207.16918778009466	-2.5589320603483214	0.6361969451690314	2.4299301798568553e-6	1.00384000872775e-4
ENSG00000144681.11	STAC	115.98999028348831	-1.31681392721422	0.3228623834645374	2.6203797897606146e-6	1.0743003451092776e-4
ENSG00000273213.4	H3-7	16.650116391808464	2.168221452601284	0.5376837767293893	2.6264543198763515e-6	1.0743003451092776e-4
ENSG00000288891.2	ENSG00000288891	10.569520856280295	2.0678058953879015	0.5151618984438885	2.7131195181333355e-6	1.1027518041445171e-4
