ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050767	regulation of neurogenesis	30/672	390/18870	6.884996427194305e-5	0.0018815033339832712	0.00148071157281765	NOG/BMP2/GOLGA4/GATA2/KIAA0319/MACF1/HAPLN1/NIN/B2M/MAP1B/SERPINF1/SEMA5B/LHX2/HOXB3/SEMA3B/OLIG2/SEMA3C/DAAM2/FN1/OPRM1/PLXND1/ASPM/ABCC8/HES2/TGM2/HAPLN3/LEF1/MT3/WNT3A/DLX1	30
GO:0071456	cellular response to hypoxia	16/672	147/18870	7.174540841232124e-5	0.0019483955748772252	0.001533354644681728	MYC/DDR2/FGFR2/ROCK2/NDNF/KCNK3/BRIP1/KCNK2/EGR1/RORA/SLC8A3/FOS/BNIP3/EDN1/MT3/EPAS1	16
GO:0060324	face development	9/672	52/18870	8.149856345499192e-5	0.0021207833345842915	0.001669020920791888	NOG/PRICKLE1/PDGFRA/MSX1/NIPBL/HOXB3/CRISPLD2/LEF1/COL1A1	9
GO:1902895	positive regulation of miRNA transcription	9/672	52/18870	8.149856345499192e-5	0.0021207833345842915	0.001669020920791888	MYC/KLF4/BMP2/GATA2/GATA3/MYOCD/EGR1/FOS/SMAD6	9
GO:0001975	response to amphetamine	7/672	31/18870	8.773596382939816e-5	0.0022190665319616397	0.0017463681490118164	DRD1/PDE1B/SLC18A2/HDAC9/DRD4/EDN1/TH	7
GO:0033688	regulation of osteoblast proliferation	7/672	31/18870	8.773596382939816e-5	0.0022190665319616397	0.0017463681490118164	EIF2AK2/BMP2/FGFR2/GREM1/NELL1/CCN1/TMEM119	7
GO:1900745	positive regulation of p38MAPK cascade	7/672	31/18870	8.773596382939816e-5	0.0022190665319616397	0.0017463681490118164	BMP2/BMP4/OPRK1/SPHK1/GDF6/GADD45B/MAP3K5	7
GO:0033555	multicellular organismal response to stress	12/672	91/18870	9.075360539414649e-5	0.0022832454690432094	0.001796875896275081	DRD1/KIAA0319/TACR1/HCN1/DRD4/NEUROD2/ADRA2A/NPAS2/PENK/CALCA/HTR2C/GRPR	12
GO:1905330	regulation of morphogenesis of an epithelium	10/672	65/18870	9.36244596002149e-5	0.002343037268735868	0.001843931039981407	NOG/SULF1/CXCL10/GATA3/WNT2B/SIX2/BMP4/GREM1/AGT/ADAMTS12	10
GO:0048146	positive regulation of fibroblast proliferation	9/672	53/18870	9.51057336171418e-5	0.002343037268735868	0.001843931039981407	MYC/DDR2/PDGFRA/AGT/SPHK1/FN1/WNT1/CD74/FOSL2	9
GO:0019233	sensory perception of pain	11/672	78/18870	9.559394955515422e-5	0.002343037268735868	0.001843931039981407	ITGA2/GRM1/KCNA2/NTSR1/OPRK1/P2RX7/OPRM1/CCN3/PENK/CALCA/PROK2	11
GO:0032526	response to retinoic acid	13/672	106/18870	1.0007661855053685e-4	0.002440329852347706	0.001920498671779533	HOXA2/LRAT/KLF4/FGFR2/CYP26B1/SERPINF1/IGFBP7/CYP26A1/ABCA1/CTSH/HSD17B2/COL1A1/WNT3A	13
GO:0072593	reactive oxygen species metabolic process	21/672	234/18870	1.0149948773163995e-4	0.002462398286550755	0.0019378661594306123	IFI6/LIPA/SLC5A3/PDGFRB/SLC18A2/SH3PXD2A/SOD2/PID1/AGT/TFAP2A/BNIP3/PXDNL/P2RX7/CCN1/NOX4/EDN1/TGFBR2/BST1/CRYAB/MT3/CYBA	21
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	17/672	168/18870	1.0764967262061063e-4	0.0025894107024997167	0.0020378228009046415	ESAM/PCDHB13/ROBO3/NEXN/PCDHGA6/PCDH8/PCDHGA7/PCDHB8/PCDHA13/PCDHB11/PCDHA10/DSC1/DSC3/CDH3/CNTN2/HMCN1/CDH12	17
GO:0002573	myeloid leukocyte differentiation	21/672	235/18870	1.0782404187065065e-4	0.0025894107024997167	0.0020378228009046415	MYC/MITF/BMP2/GATA2/GATA3/TNFRSF11A/PDE1B/FBN1/BMP4/SH3PXD2A/MYH9/FOS/LRRK1/IFI16/LEF1/TGFBR2/ERFE/CD4/PPARGC1B/CD74/FOSL2	21
GO:0032102	negative regulation of response to external stimulus	34/672	481/18870	1.2286976816683635e-4	0.0029359082795643557	0.0023105105836186365	OAS1/ISG15/DRD1/KLF4/SLC39A8/PDGFRA/GATA3/KIAA0319/OAS3/USP18/ADTRP/DHX58/HLA-B/RORA/PARP14/HLA-F/GREM1/SEMA5B/EPPK1/SEMA3B/RNF125/TRIM38/SEMA3C/EDN1/CCN3/IFI16/SMPDL3B/SOCS3/NLRC5/THBD/NMI/FAP/SPINK5/WNT3A	34
